"withinblocktrial","block","block_repetition","rt","resp","cor","cresp","conf_press","cj","rtconf","coherence","slow_trial","manipulation","sub","age","gender","handedness","X","batch","check1","check2","check3","check4"
42,5,1,0.801113900000018,"['c']",1,"left","['0']",6,0.133646100000078,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
43,5,1,1.30020660000014,"['c']",0,"right","['0']",6,0.200451500000099,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
44,5,1,0.801194500000065,"['c']",1,"left","['0']",6,0.167249200000015,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
45,5,1,0.900286199999982,"['n']",1,"right","['0']",6,0.200604900000144,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
46,5,1,0.583434399999987,"['c']",1,"left","['0']",6,0.200201800000059,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
47,5,1,0.966661499999873,"['n']",1,"right","['0']",6,0.200189500000079,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
48,5,1,0.465895900000078,"['c']",1,"left","['0']",6,0.217488899999807,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
49,5,1,0.816986499999985,"['n']",1,"right","['0']",6,0.217038699999875,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
50,5,1,1.2335415,"['c']",0,"right","['9']",5,0.617090599999983,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
51,5,1,0.633142300000145,"['c']",1,"left","['0']",6,0.217182999999977,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
52,5,1,0.716630399999985,"['c']",1,"left","['0']",6,0.167242699999861,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
53,5,1,1.65074630000004,"['c']",1,"left","['8']",4,0.984072200000128,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
54,5,1,1.7836734,"['c']",0,"right","['3']",3,0.450501300000042,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
55,5,1,1.14977019999992,"['c']",1,"left","['0']",6,0.350574099999903,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
56,5,1,0.833497000000079,"['c']",0,"right","['0']",6,0.183815199999799,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
57,5,1,2.11570660000007,"['n']",1,"right","['8']",4,1.15036329999998,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
58,5,1,2.33355719999986,"['n']",1,"right","['3']",3,0.617505800000117,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
59,5,1,0.999420299999883,"['c']",1,"left","['0']",6,0.200516800000059,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
0,6,1,1.81623160000004,"['c']",1,"left","['0']",6,0.36716750000005,0.2,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
1,6,1,1.56634829999985,"['c']",0,"right","['0']",6,0.433839600000056,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
2,6,1,2.99945300000013,"['n']",1,"right","['0']",6,0.400506799999903,0.4,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
